icsa_id,icsa_url,icsa_release,icsa_update,icsa_description,icsa_is_update,icsa_vendor,icsa_oneliner
ICSA-14-189-01,https://www.us-cert.gov/ics/advisories/ICSA-14-189-01,2014-07-08,2018-09-06,Yokogawa Centum Buffer Overflow Vulnerability,1,Yokogawa," Researcher group Rapid7 has identified a buffer overflow vulnerability in Yokogawa CENTUM products. Yokogawa has produced a patch that mitigates this vulnerability. This vulnerability could be exploited remotely."
ICSA-14-189-02,https://www.us-cert.gov/ics/advisories/ICSA-14-189-02,2014-07-29,2018-09-06,Innominate mGuard Unauthorized Leakage of System Data,1,Innominate," This advisory was originally posted to the US-CERT secure Portal library on July 8, 2014, and is being released to the NCCIC/ICS-CERT web site. The Applied Risk Research team has identified an unauthorized download of system information from Innominate mGuard devices. Innominate has produced a firmware patch that mitigates this vulnerability. This firmware patch has been validated by the Applied Risk Research team, and the original vulnerability research is referenced on at http://www.applied-risk.com as ARA-2014001. This vulnerability could be exploited remotely."
ICSA-14-196-01,https://www.us-cert.gov/ics/advisories/ICSA-14-196-01,2014-07-31,2018-09-06,SubSTATION Server Telegyr 8979 Master Vulnerabilities,1,SUBNET Solutions Inc.," This advisory was originally posted to the US-CERT secure Portal library on July 15, 2014, and is being released to the NCCIC/ICS-CERT web site. Adam Crain of Automatak and Chris Sistrunk of Mandiant have identified a Buffer Overflow Vulnerability in the SUBNET Solutions Inc (SUBNET), SubSTATION Server 2, Telegyr 8979 Master application. SUBNET has produced a hot fix that mitigates this and a related vulnerability the vendor found independently. The researchers have tested the new hot fix and validate that it resolves these vulnerabilities. These vulnerabilities could be exploited remotely."
ICSA-14-198-01,https://www.us-cert.gov/ics/advisories/ICSA-14-198-01,2014-07-17,2018-09-06,Cogent DataHub Code Injection Vulnerability,1,Cogent Real-Time Systems Inc," NCCIC/ICS-CERT has become aware of a code injection vulnerability affecting the Cogent DataHub application produced by Cogent Real-Time Systems, Inc. (hereafter referred to as Cogent). Security researcher John Leitch reported this vulnerability to the Zero Day Initiative (ZDI), who then reported it directly to Cogent. Successful exploitation of this vulnerability could allow remote execution of arbitrary code. This vulnerability could be exploited remotely. Exploits that target this vulnerability are known to be publicly available."
ICSA-14-198-02,https://www.us-cert.gov/ics/advisories/ICSA-14-198-02,2014-07-17,2018-09-06,Advantech WebAccess Vulnerabilities,1,Advantech," NCCIC/ICS-CERT received a report from the Zero Day Initiative (ZDI) concerning vulnerabilities affecting the Advantech WebAccess application. These vulnerabilities were reported to ZDI by security researchers Dave Weinstein, Tom Gallagher, John Leitch, and others. Advantech has produced an updated software version that mitigates these vulnerabilities. These vulnerabilities could be exploited remotely. Exploits that target these vulnerabilities are known to be publicly available."
ICSA-14-198-03G,https://www.us-cert.gov/ics/advisories/ICSA-14-198-03G,2015-02-17,2018-08-29,Siemens OpenSSL Vulnerabilities (Update G),1,Siemens," This updated advisory is a follow-up to the updated advisory titled ICSA-14-198-03F Siemens OpenSSL Vulnerabilities that was published October 16, 2014, on the NCCIC/ICS-CERT web site."
ICSA-14-202-01A,https://www.us-cert.gov/ics/advisories/ICSA-14-202-01A,2015-05-21,2018-08-27,OleumTech WIO Family Vulnerabilities (Update A),1,OleumTech," This updated advisory is a follow-up to the original advisory titled ICSA-14-202-01 OleumTech WIO Family Vulnerabilities that was published July 21, 2014, on the NCCIC/ICS-CERT web site."
ICSA-14-203-01,https://www.us-cert.gov/ics/advisories/ICSA-14-203-01,2014-07-22,2019-01-31,Omron NS Series HMI Vulnerabilities,1,Omron," Researcher Joel Sevilleja Febrer of S2 Grupo has identified multiple vulnerabilities in Omron Corporation’s NS series human-machine interface (HMI) terminals. Omron Corporation has produced an update that mitigates these vulnerabilities. These vulnerabilities could be exploited remotely."
ICSA-14-205-01,https://www.us-cert.gov/ics/advisories/ICSA-14-205-01,2014-07-24,2018-09-06,Morpho Itemiser 3 Hard-Coded Credential,1,Morpho," Independent researchers Billy Rios and Terry McCorkle have identified hard-coded credentials in the Morpho Itemiser 3. Morpho has not produced a patch, update, or new version that mitigates this vulnerability. This vulnerability could be exploited remotely."
ICSA-14-205-02A,https://www.us-cert.gov/ics/advisories/ICSA-14-205-02A,2014-10-07,2018-09-06,Siemens SIMATIC WinCC Vulnerabilities (Update A),1,Siemens," This updated advisory is a follow-up to the original advisory titled ICSA-14-205-02 Siemens SIMATIC WinCC Vulnerabilities that was published July 24, 2014, on the NCCIC/ICS-CERT web site. Researchers Sergey Gordeychik, Alexander Tlyapov, Dmitry Nagibin, and Gleb Gritsai of Positive Technologies identified four of five vulnerabilities in the Siemens SIMATIC WinCC application. An anonymous researcher identified the remaining vulnerability. Siemens has produced an update that mitigates these vulnerabilities. All but one of the reported vulnerabilities could be exploited remotely."
ICSA-14-224-01,https://www.us-cert.gov/ics/advisories/ICSA-14-224-01,2014-09-11,2018-09-06,Ecava Integraxor SCADA Server Vulnerabilities,1,Ecava," This advisory was originally posted to the US-CERT secure Portal library on August 12, 2014, and is being released to the NCCIC/ICS-CERT web site. Independent researcher Andrea Micalizzi identified an Improper Privilege Management vulnerability within Ecava’s IntegraXor SCADA Server and reported it to Zero Day Initiative (ZDI). ZDI reported the vulnerability to NCCIC/ICS-CERT. Independent researcher Alain Homewood identified three other vulnerabilities in the Ecava’s IntegraXor SCADA Server. Ecava has produced a patch that mitigates these vulnerabilities. Alain Homewood has tested the patch to validate that it resolves the vulnerabilities he has identified. These vulnerabilities could be exploited remotely."
ICSA-14-226-01,https://www.us-cert.gov/ics/advisories/ICSA-14-226-01,2014-08-14,2018-08-22,Siemens SIMATIC S7-1500 CPU Denial of Service,1,Siemens," Arnaud Ebalard from Agence Nationale de la Sécurité des Systèmes d’Information (ANSSI) has reported a denial-of-service (DoS) vulnerability in Siemens SIMATIC S7-1500 CPU. Siemens produced a new firmware version that mitigates this vulnerability and then reported it to NCCIC/ICS-CERT. This vulnerability could be exploited remotely."
ICSA-14-238-01,https://www.us-cert.gov/ics/advisories/ICSA-14-238-01,2014-08-26,2018-09-06,CG Automation Improper Input Validation,1,CG Automation," Researchers Adam Crain of Automatak and Chris Sistrunk of Mandiant have identified an improper input validation vulnerability in the CG Automation ePAQ-9410 Substation Gateway DNP3 protocol components. CG Automation has produced an updated software that mitigates this vulnerability. CG Automation has tested the updated software to validate that it resolves the vulnerability. This vulnerability could be exploited remotely."
ICSA-14-238-02,https://www.us-cert.gov/ics/advisories/ICSA-14-238-02,2014-08-26,2018-08-29,Schneider Electric Wonderware Vulnerabilities,1,Schneider Electric," Timur Yunusov, Ilya Karpov, Sergey Gordeychik, Alexey Osipov, and Dmitry Serebryannikov of the Positive Technologies Research Team have identified four vulnerabilities in the Schneider Electric Wonderware Information Server (WIS). Schneider Electric has produced an update that mitigates these vulnerabilities. Some of these vulnerabilities could be exploited remotely."
ICSA-14-247-01A,https://www.us-cert.gov/ics/advisories/ICSA-14-247-01A,2014-10-28,1900-01-01,Sensys Networks Traffic Sensor Vulnerabilities (Update A),1,Sensys Networks," This updated advisory is a follow-up to the original advisory titled ICSA-14-247-01A Sensys Networks traffic sensor vulnerabilities that was published September 04, 2014, on the NCCIC/ICS-CERT web site. Researcher Cesar Cerrudo of IOActive has identified vulnerabilities in the Sensys Networks VSN240-F and VSN240-T traffic sensors. Sensys Networks has produced updated product versions that mitigate these vulnerabilities."
ICSA-14-254-01,https://www.us-cert.gov/ics/advisories/ICSA-14-254-01,2014-09-11,2018-09-06,Schneider Electric VAMPSET Buffer Overflow,1,Schneider Electric," Aivar Liimets of Martem AS has identified a buffer overflow vulnerability in Schneider Electric’s VAMPSET software product. He reported it directly to Schneider Electric who reported it to NCCIC/ICS-CERT once the problem was fixed. Schneider Electric has produced an update that mitigates this vulnerability. Mr. Liimets has tested the update to validate that it resolves the vulnerability."
ICSA-14-254-02,https://www.us-cert.gov/ics/advisories/ICSA-14-254-02,2014-09-30,2018-09-06,Rockwell Micrologix 1400 DNP3 DOS Vulnerability,1,Rockwell Automation," This advisory was originally posted to the US-CERT secure Portal library on September 11, 2014, and is being released to the NCCIC/ICS-CERT web site. Independent researcher Matthew Luallen of CYBATI has identified a denial-of-service (DoS) vulnerability to the DNP3 implementation of the Allen-Bradley MicroLogix 1400 controller platform. Rockwell Automation has produced a firmware revision that mitigates this vulnerability. This vulnerability could be exploited remotely."
ICSA-14-259-01A,https://www.us-cert.gov/ics/advisories/ICSA-14-259-01A,2014-10-07,2018-09-06,Schneider Electric SCADA Expert ClearSCADA Vulnerabilities (Update A),1,Schneider Electric," This updated advisory is a follow-up to the original advisory titled ICSA-14-259-01 Schneider Electric SCADA Expert ClearSCADA Vulnerabilities that was published September 16, 2014, on the NCCIC/ICS-CERT web site. Independent researcher Aditya Sood has identified a weak hashing algorithm and cross-site scripting vulnerability in Schneider Electric’s StruxureWare SCADA Expert ClearSCADA. Schneider Electric has identified an additional vulnerability in its StruxureWare SCADA Expert ClearSCADA product line. Schneider Electric is in the process of producing a patch that mitigates these vulnerabilities. These vulnerabilities could be exploited remotely."
ICSA-14-260-01A,https://www.us-cert.gov/ics/advisories/ICSA-14-260-01A,2014-12-02,2018-09-05,Yokogawa CENTUM and Exaopc Vulnerability (Update A),1,Yokogawa," This updated advisory is a follow-up to the original advisory titled ICSA-14-260-01 Yokogawa CENTUM and Exaopc Vulnerability that was published September 17, 2014, on the NCCIC/ICS-CERT web site. Tod Beardsley of Rapid7 Inc. and Jim Denaro of CipherLaw have identified an authentication vulnerability and released proof-of-concept (exploit) code for the Yokogawa CENTUM CS 3000 series and Exaopc products. JPCERT and Yokogawa have mitigated this vulnerability. This vulnerability could be exploited remotely. Exploits that target this vulnerability are known to be publicly available."
ICSA-14-261-01,https://www.us-cert.gov/ics/advisories/ICSA-14-261-01,2014-09-18,2018-09-06,Advantech WebAccess Vulnerabilities,1,Advantech," Researcher Ricardo Narvaja of Core Security Technologies has identified several buffer overflow vulnerabilities in Advantech’s WebAccess application. Advantech has produced a patch that mitigates these vulnerabilities. The researcher has tested the patch to validate that it resolves the vulnerabilities. These vulnerabilities could be exploited remotely."
ICSA-14-269-01 (Supplement),https://www.us-cert.gov/ics/advisories/ICSA-14-269-01-Supplement,2014-10-15,2014-11-12,Bash Command Injection Vulnerability (Supplement),0,Other,NULL
ICSA-14-269-01A,https://www.us-cert.gov/ics/advisories/ICSA-14-269-01A,2014-10-15,2018-09-06,Bash Command Injection Vulnerability (Update A),1,Other," This updated advisory is a follow-up to the original advisory titled ICSA-14-269-01 Bash Command Injection Vulnerability that was published September 26, 2014, on the NCCIC/ICS-CERT web site. A command injection vulnerability has been reported in the Bourne again shell (bash). Bash is the common command-line used in most Linux/Unix-based operating systems and Apple’s Mac OS X. The flaw could allow an attacker to remotely execute shell commands by attaching malicious code in environment variables used by the operating system. Industrial control systems running embedded versions of Linux may not be field upgradeable are of particular concern and may require alternate mitigation. Patches have been released to fix this vulnerability by major Linux vendors for affected versions. Solutions for CVE-2014-6271 do not completely resolve the vulnerability. It is advised to install existing patches and pay attention for updated patches to address CVE-2014-7169. Exploits that target this vulnerability are publicly available. As bash is a third-party component, asset owners, operators, and SCADA product developers are encouraged to investigate the use of the affected versions of bash in their environments. ICS-CERT encourages any asset owners/operators, developers, or vendors to coordinate known implementations of the affected products directly with ICS-CERT."
ICSA-14-269-02,https://www.us-cert.gov/ics/advisories/ICSA-14-269-02,2014-10-16,2018-09-06,Fox DataDiode Proxy Server CSRF Vulnerability,1,Fox-IT," This advisory was originally posted to the US-CERT secure Portal library on September 26, 2014, and is being released to the ICS-CERT web site. Tudor Enache of HelpAG identified a Cross-Site Request Forgery (CSRF) in the proxy server web administration interface for the Fox DataDiode Appliance Proxy Server. Fox-IT has produced Release 1.7.2 that resolves this vulnerability. This vulnerability could be exploited remotely."
ICSA-14-273-01,https://www.us-cert.gov/ics/advisories/ICSA-14-273-01,2014-09-30,2018-09-06,SchneiderWEB Server Directory Traversal Vulnerability,1,Schneider Electric," Independent researcher Billy Rios has identified a directory traversal vulnerability in Schneider Electric’s SchneiderWEB, a web HMI. Schneider Electric has produced a firmware update that mitigates this vulnerability. Billy Rios has tested the update to validate that it resolves the vulnerability. This vulnerability could be exploited remotely."
ICSA-14-275-01,https://www.us-cert.gov/ics/advisories/ICSA-14-275-01,2014-10-30,2018-09-06,Meinberg Radio Clocks LANTIME M-Series XSS,1,Meinberg," This advisory was originally posted to the US-CERT secure Portal library on October 2, 2014, and is being released to the ICS-CERT web site. Martem Telecontrol Systems security researcher Aivar Liimets has identified a reflected cross-site scripting vulnerability in the Meinberg Radio Clocks GmbH &amp; Co. KG LANTIME M400 web interface. Meinberg has produced a firmware update that mitigates this vulnerability in all LANTIME M-Series. Aivar Liimets has tested the firmware update to validate that it resolves the vulnerability. This vulnerability could be exploited remotely."
ICSA-14-275-02,https://www.us-cert.gov/ics/advisories/ICSA-14-275-02,2014-10-30,2018-09-06,Accuenergy Acuvim II Authentication Vulnerabilities,1,Accuenergy," This advisory was originally posted to the US-CERT secure Portal library on October 2, 2014, and is being released to the ICS-CERT web site. Independent researcher Laisvis Lingvevicius has identified two authentication vulnerabilities within the Accuenergy AXM-NET Ethernet module’s web server. The AXM-NET Ethernet module is an accessory for the Acuvim II. Accuenergy has produced a firmware upgrade that mitigates these vulnerabilities. The researcher has tested the firmware to validate that it resolves the vulnerabilities. These vulnerabilities could be exploited remotely."
ICSA-14-287-01,https://www.us-cert.gov/ics/advisories/ICSA-14-287-01,2015-01-13,2018-08-29,GE Proficy HMI/SCADA DNP3 Driver Input Validation,1,"Catapult Software, GE"," This advisory was originally posted to the US-CERT secure Portal library on October 14, 2014, and is being released to the NCCIC/ICS-CERT web site. Independent researcher Adam Crain of Automatak has identified an improper input validation in the DNP3 driver provided by Catapult Software. Catapult and GE have produced a patch that mitigates this vulnerability. GE has tested the patch to validate that it resolves the vulnerability in affected GE Proficy HMI/SCADA products. This vulnerability could be exploited remotely."
ICSA-14-288-01,https://www.us-cert.gov/ics/advisories/ICSA-14-288-01,2014-10-15,1900-01-01,CareFusion Pyxis SupplyStation System Vulnerabilities,1,CareFusion," Independent researcher Billy Rios identified authentication vulnerabilities in CareFusion’s Pyxis SupplyStation system. CareFusion has implemented additional controls to mitigate some of these vulnerabilities in the SupplyStation system. Some of the reported vulnerabilities could be exploited remotely. These vulnerabilities could be exploited if the network and/or physical security of healthcare facilities using the SupplyStation system are also compromised. "
ICSA-14-289-01,https://www.us-cert.gov/ics/advisories/ICSA-14-289-01,2014-10-16,2018-08-22,IOServer Resource Exhaustion Vulnerability,1,IOServer," Chris Sistrunk of Mandiant and Adam Crain of Automatak have identified an out of bound read vulnerability in the IOServer application. IOServer has produced a new version that mitigates this vulnerability. Adam Crain has tested the new version to validate that it resolves the vulnerability. This vulnerability could be exploited remotely."
ICSA-14-289-02,https://www.us-cert.gov/ics/advisories/ICSA-14-289-02,2015-01-15,2018-08-29,GE Proficy HMI/SCADA CIMPLICITY CimView Memory Access Violation,0,GE," This advisory was originally posted to the NCCIC/US-CERT secure Portal library on October 16, 2014, and is being released to the NCCIC/ICS-CERT web site. Independent researcher Said Arfi has identified a memory access violation vulnerability in GE’s CIMPLICITY CimView application. GE has produced an update that mitigates this vulnerability."
ICSA-14-294-01,https://www.us-cert.gov/ics/advisories/ICSA-14-294-01,2014-11-11,2018-09-06,Rockwell Automation Connected Components Workbench ActiveX Component Vulnerabilities,0,Rockwell Automation," This advisory was originally posted to the US-CERT secure Portal library on November 6, 2014, and is being released to the NCCIC/ICS-CERT web site. Independent researcher Andrea Micalizzi working through ZDI has identified two custom ActiveX Component vulnerabilities in Rockwell Automation’s Connected Components Workbench (CCW) application. Rockwell Automation has produced, tested, and released a new software version that mitigates these vulnerabilities. These vulnerabilities could be exploited remotely."
ICSA-14-303-01,https://www.us-cert.gov/ics/advisories/ICSA-14-303-01,2014-10-30,2018-09-06,Nordex NC2 XSS Vulnerability,1,Nordex," This advisory is a follow-up to the alert titled ICS-ALERT-13-304-01 Nordex NC2 – Cross-Site Scripting Vulnerability that was published October 31, 2013, on the NCCIC/ICS-CERT web site. Independent researcher Darius Freamon identified a cross-site scripting vulnerability in the Nordex Control 2 (NC2) application and released proof-of-concept (exploit) code without coordination with ICS-CERT, the vendor, or any other coordinating entity known to ICS-CERT. This vulnerability could be exploited remotely. Exploits that target this vulnerability are publicly available."
ICSA-14-303-02,https://www.us-cert.gov/ics/advisories/ICSA-14-303-02,2014-12-02,2018-09-05,Elipse SCADA DNP3 Denial of Service,1,Elipse," This advisory was originally posted to the US-CERT secure Portal library on October 30, 2014, and is being released to the NCCIC/ICS-CERT web site Independent researchers Adam Crain and Chris Sistrunk have identified a DNP3 denial-of-service vulnerability in the Elipse SCADA application. Elipse has produced a new version of the DNP3 driver that mitigates this vulnerability. This vulnerability could be exploited remotely."
ICSA-14-308-01,https://www.us-cert.gov/ics/advisories/ICSA-14-308-01,2014-11-04,2018-09-06,ABB RobotStudio and Test Signal Viewer DLL Hijack Vulnerability,1,ABB," Ivan Sanchez of WiseSecurity Team has identified a dll hijack vulnerability in the ABB RobotStudio and Test Signal Viewer applications. ABB has produced new versions that mitigate this vulnerability. Mr. Sanchez has tested the new version to validate that it resolves the vulnerability."
ICSA-14-324-01,https://www.us-cert.gov/ics/advisories/ICSA-14-324-01,2014-11-20,2018-09-05,Advantech WebAccess Stack-based Buffer Overflow,1,Advantech," Ricardo Narvaja from Core Security Consulting Services discovered and disclosed information regarding a buffer overflow vulnerabilitya in Advantech WebAccess. Joaquín Rodríguez Varela from the Core Advisories Team reported this to NCCIC/ICS-CERT, who coordinated with Advantech. Advantech has produced a new version of WebAccess that does not have this vulnerability when installed on a machine that did not have a previous version of WebAccess."
ICSA-14-329-01,https://www.us-cert.gov/ics/advisories/ICSA-14-329-01,2014-11-25,2018-09-05,MatrikonOPC for DNP Unhandled C++ Exception,1,MatrikonOPC," Adam Crain of Automatak and Chris Sistrunk of Mandiant have identified an unhandled C++ exception in the MatrikonOPC DNP3 application. MatrikonOPC has produced a new version that mitigates this vulnerability. This vulnerability could be exploited remotely."
ICSA-14-329-02D,https://www.us-cert.gov/ics/advisories/ICSA-14-329-02D,2015-02-10,2018-08-29,"Siemens SIMATIC WinCC, PCS7, and TIA Portal Vulnerabilities (Update D)",1,Siemens," This updated advisory is a follow-up to the updated advisory titled ICSA-14-329-02C Siemens SIMATIC WinCC, PCS7, and TIA Portal Vulnerabilities that was published December 18, 2014, on the NCCIC/ICS-CERT web site. Siemens has identified two vulnerabilities within products using the Siemens WinCC application. Siemens has produced a patch that mitigates this vulnerability in the WinCC application and is working on updates for the remaining affected products to address the other vulnerability in the WinCC application. These vulnerabilities could be exploited remotely. Exploits that target these vulnerabilities are potentially available."
ICSA-14-343-01,https://www.us-cert.gov/ics/advisories/ICSA-14-343-01,2014-12-09,2018-09-05,Yokogawa FAST/TOOLS XML External Entity,1,Yokogawa," Timur Yunusov, Alexey Osipov, and Ilya Karpov of Positive Technologies Inc. have identified an XML external entity processing vulnerability in the Yokogawa FAST/TOOLS application. Yokogawa has produced a service pack that mitigates this vulnerability."
ICSA-14-343-02,https://www.us-cert.gov/ics/advisories/ICSA-14-343-02,2014-12-09,2018-08-23,Trihedral Engineering Limited VTScada Integer Overflow Vulnerability,1,Trihedral Engineering Limited," An anonymous researcher working with HP’s Zero Day Initiative has identified an integer overflow vulnerability in Trihedral Engineering Ltd’s VTScada application. Trihedral Engineering Limited has produced a patch that mitigates this vulnerability. This vulnerability could be exploited remotely."
ICSA-14-345-01,https://www.us-cert.gov/ics/advisories/ICSA-14-345-01,2015-01-15,2018-08-29,Arbiter Systems 1094B GPS Clock Spoofing Vulnerability,1,Arbiter Systems," This advisory was originally posted to the US-CERT secure Portal library on December 11, 2014, and is being released to the NCCIC/ICS-CERT web site. Arbiter Systems has identified a GPS clock spoofing vulnerability in its 1094B clock. Arbiter Systems has produced a new product that is not vulnerable to this type of attack. This vulnerability could be exploited remotely."
ICSA-14-350-01,https://www.us-cert.gov/ics/advisories/ICSA-14-350-01,2014-12-16,2018-09-05,Schneider Electric ProClima Command Injection Vulnerabilities,1,Schneider Electric," NCCIC/ICS-CERT received a report from HP’s Zero Day Initiative (ZDI) concerning command injection vulnerabilities in Schneider Electric’s ProClima software package. These vulnerabilities were reported to ZDI by security researchers Ariele Caltabiano, Andrea Micalizzi, and Brian Gorenc. Schneider Electric has produced an update version that mitigates these vulnerabilities. These vulnerabilities could be exploited remotely."
ICSA-14-350-02,https://www.us-cert.gov/ics/advisories/ICSA-14-350-02,2015-03-17,2018-08-27,Johnson Controls Metasys Vulnerabilities,1,Johnson Controls," This advisory was originally posted to the US-CERT secure Portal library on December 16, 2014, and is being released to the NCCIC/ICS-CERT web site. Independent security researcher Billy Rios has identified two vulnerabilities in Johnson Controls Metasys building management system. Johnson Controls has produced patches for each affected release that mitigates these vulnerabilities. These vulnerabilities could be exploited remotely."
ICSA-14-352-01,https://www.us-cert.gov/ics/advisories/ICSA-14-352-01,2014-12-18,2019-04-10,Honeywell Experion PKS Vulnerabilities,1,Honeywell," Alexander Tlyapov, Gleb Gritsai, Kirill Nesterov, Artem Chaykin and Ilya Karpov of the Positive Technologies Research Team and Security Lab have identified vulnerabilities in Honeywell’s Experion Process Knowledge System (EPKS) application. Honeywell has produced several patch updates (R400.6, R410.6 and 430.6) that resolve these vulnerabilities. These vulnerabilities could be exploited remotely."
ICSA-14-352-02,https://www.us-cert.gov/ics/advisories/ICSA-14-352-02,2014-12-18,2018-09-05,Innominate mGuard Privilege Escalation Vulnerability,0,Innominate," Innominate Security Technologies has identified a privilege escalation vulnerability affecting all mGuard devices. Innominate has produced a firmware patch that mitigates this vulnerability. This vulnerability could be exploited remotely."
ICSA-14-353-01-SupplementA,https://www.us-cert.gov/ics/advisories/ICSA-14-353-01-SupplementA,2015-03-05,1900-01-01,Network Time Protocol Vulnerabilities (Supplement Update A),1,Other,
ICSA-14-353-01C,https://www.us-cert.gov/ics/advisories/ICSA-14-353-01C,2015-02-05,2018-08-29,Network Time Protocol Vulnerabilities (Update C),1,Other," This updated advisory is a follow-up to the updated advisory titled ICSA-14-353-01B Network Time Protocol Vulnerabilities that was published February 4, 2015, on the NCCIC/ICS-CERT web site. Google Security Team researchers Neel Mehta and Stephen Roettger have coordinated multiple vulnerabilities with CERT/CC concerning the Network Time Protocol (NTP). As NTP is widely used within operational industrial control systems deployments, ICS-CERT is providing this information for US critical infrastructure asset owners and operators for awareness and to identify mitigations for affected devices. ICS-CERT may release updates as additional information becomes available. These vulnerabilities could be exploited remotely. Products using NTP service prior to ntp-4.2.8p1 are affected. This is an open source protocol."
ICSA-15-006-01,https://www.us-cert.gov/ics/advisories/ICSA-15-006-01,2015-07-16,2018-08-27,Eaton’s Cooper Power Series Form 6 Control and Idea/IdeaPlus Relays with Ethernet Vulnerability,1,Eaton&amp;#039;s Cooper Power Systems," This advisory was originally posted to the US-CERT secure Portal library on January 6, 2015, and is now being released to the NCCIC/ICS-CERT web site. Dr. Raheem Beyah, David Formby, and San Shin Jung of Georgia Tech, via a research project partially sponsored by the Georgia Tech National Electric Energy Testing Research and Applications Center (NEETRAC), have identified a predictable TCP sequence vulnerability in Eaton’s Cooper Power Systems Form 6 controls and Idea/IdeaPLUS relays with Ethernet application. Eaton’s Cooper Power Systems has produced a patch to mitigate this vulnerability. These researchers have tested the patch to validate that it resolves the vulnerability.This vulnerability could be exploited remotely."
ICSA-15-008-01A,https://www.us-cert.gov/ics/advisories/ICSA-15-008-01A,2015-01-09,2018-08-29,Emerson HART DTM Vulnerability (Update A),1,Emerson," This updated advisory is a follow-up to the original advisory titled ICSA-15-008-01 Emerson HART DTM Vulnerability that was published January 8, 2015, on the NCCIC/ICS-CERT web site. Alexander Bolshev of Digital Security has identified an improper input vulnerability in the CodeWrights HART Device Type Manager (DTM) library utilized in Emerson’s HART DTM. CodeWrights has addressed the vulnerability with a new library, which Emerson has begun to integrate. Emerson has tested the new library to validate that it resolves the vulnerability."
ICSA-15-008-02,https://www.us-cert.gov/ics/advisories/ICSA-15-008-02,2015-01-08,2018-08-27,Schneider Electric Wonderware InTouch Access Anywhere Server Buffer Overflow Vulnerability,1,Schneider Electric," Schneider Electric Wonderware has identified a stack-based buffer overflow vulnerability in the Wonderware InTouch Access Anywhere Server product. Schneider Electric has produced a security update that mitigates this vulnerability. This vulnerability could be exploited remotely."
ICSA-15-012-01C,https://www.us-cert.gov/ics/advisories/ICSA-15-012-01C,2015-02-05,2018-08-29,CodeWrights GmbH HART Device DTM Vulnerability (Update C),1,CodeWrights GmbH," This updated advisory is a follow-up to the updated advisory titled ICSA-15-012-01B CodeWrights GmbH HART DTM Vulnerability that was published January 27, 2015, on the NCCIC/ICS-CERT web site. Alexander Bolshev of Digital Security has identified an improper input validation vulnerability in CodeWrights GmbH HART Device Type Manager (DTM) libraries. CodeWrights GmbH produces DTM libraries for vendors of HART Device DTM products. CodeWrights GmbH has updated the libraries that mitigate this vulnerability. Using CodeWrights GmbH’s updated library for HART Device DTM, Emerson has tested the new library to validate that it resolves the vulnerability."
ICSA-15-013-01,https://www.us-cert.gov/ics/advisories/ICSA-15-013-01,2015-01-13,2018-08-29,Siemens SIMATIC WinCC Sm@rtClient iOS Application Authentication Vulnerabilities,1,Siemens," Siemens has identified authentication vulnerabilities in the SIMATIC WinCC Sm@rt Client application. These vulnerabilities were reported directly to Siemens by Kim Schlyter, Seyton Bradford, and Richard Warren from FortConsult (NCC Group). Siemens has produced an update that mitigates these vulnerabilities."
ICSA-15-013-02,https://www.us-cert.gov/ics/advisories/ICSA-15-013-02,2015-01-13,2018-08-29,Clorius Controls A/S ISC SCADA Insecure Java Client Web Authentication,1,Clorius Controls A/S," Independent researcher Aditya Sood has identified an insecure Java client web authentication vulnerability in the Clorius Controls A/S ISC SCADA server. Clorius Controls A/S has produced an update that mitigates this vulnerability. Aditya Sood has tested the update to validate that it resolves the vulnerability. This vulnerability could be exploited remotely."
ICSA-15-013-03,https://www.us-cert.gov/ics/advisories/ICSA-15-013-03,2015-01-13,2019-01-24,Phoenix Contact Software ProConOs and MultiProg Authentication Vulnerability,1,PHOENIX CONTACT," Reid Wightman of Digital Bond has identified an authentication vulnerability in Phoenix Contact Software’s ProConOs and MultiProg applications. KW-Software originally wrote these applications without authentication intentionally. This vulnerability could be exploited remotely."
ICSA-15-013-04A,https://www.us-cert.gov/ics/advisories/ICSA-15-013-04A,2015-01-13,2015-08-04,GE Multilink Switch Vulnerabilities (Update A),1,GE," This updated advisory is a follow-up to the original advisory titled ICSA-15-013-04 GE MultiLink Switch Vulnerabilities that was published January 13, 2015, on the NCCIC/ICS-CERT web site."
ICSA-15-020-01,https://www.us-cert.gov/ics/advisories/ICSA-15-020-01,2015-01-20,2018-08-29,Siemens SCALANCE X-300/X408 Switch Family DOS Vulnerabilities,1,Siemens," Siemens has identified denial-of-service (DoS) vulnerabilities in the SCALANCE X-300/X408 switch family. These vulnerabilities were reported directly to Siemens by Déjà vu Security. Siemens has produced a firmware update that mitigates these vulnerabilities. These vulnerabilities could be exploited remotely."
ICSA-15-020-02,https://www.us-cert.gov/ics/advisories/ICSA-15-020-02,2015-01-20,2018-08-29,Schneider Electric ETG3000 FactoryCast HMI Gateway Vulnerabilities,1,Schneider Electric," Narendra Shinde of Qualys Security has identified multiple vulnerabilities in Schneider Electric’s ETG3000 FactoryCast HMI Gateway. Schneider Electric has produced a firmware update that mitigates part of these vulnerabilities. These vulnerabilities could be exploited remotely."
